Passage ID,Introduction,Passage,https:$\\$staging1.prestigei.com/passage,Figure ID 1,Figure ID 2,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_01,,"Artist Marilyn Dingle’s intricate, coiled baskets are ______ sweetgrass and palmetto palm. Following a Gullah technique that originated in West Africa, Dingle skillfully winds a thin palm frond around a bunch of sweetgrass with the help of a “sewing bone” to create the basket’s signature look that no factory can reproduce.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_02,,Some researchers believe that the genes that enable groundhogs and certain other mammals to hibernate through the winter by slowing their breathing and heart rates and lowering their body temperature may be ______ in humans: present yet having essentially no effect on our bodily processes.,,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_03,,"Diego Velazquez was the leading artist in the court of King Philip IV of Spain during the seventeenth century, but his influence was hardly ______ Spain: realist and impressionist painters around the world employed his techniques and echoed elements of his style.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_04,,"Although science fiction was dominated mostly by white male authors when Octavia Butler, a Black woman, began writing, she did not view the genre as ______: Butler broke into the field with the publication of several short stories and her 1976 novel $\textit{Patternmaster,}$ and she later became the first science fiction writer to win a prestigious MacArthur Fellowship.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_05,"The following text is adapted from Nathaniel Hawthorne’s 1844 short story “Drowne’s Wooden Image.” Drowne, a young man, is carving a wooden figure to decorate the front of a ship.","Day by day, the work $\underbar{assumed}$ greater precision, and settled its irregular and misty outline into distincter grace and beauty. The general design was now obvious to the common eye.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_06,The following text is from Walt Whitman’s 1860 poem “Calamus 24.”,"I HEAR it is charged against me that I seek to destroy institutions;$\\$
But really I am neither for nor against institutions$\\$
(What indeed have I in common with them?$\text{---}$Or what with the destruction of them?),$\\$ Only I will establish in the Mannahatta [Manhattan] and in every city of These States,
inland and seaboard,$\\$
And in the fields and woods, and above every keel [ship] little or large, that dents the water,$\\$
Without edifices, or rules, or trustees, or any argument,$\\$ The institution of the dear love of comrades.
",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_07,,"Utah is home to Pando, a colony of about 47,000 quaking aspen trees that all share a single root system. Pando is one of the largest single organisms by mass on Eartit, but ecologists are worried that its growth is declining in part because of grazing by animals. The ecologists say that strong fences could prevent deer from eating young trees and help Pando start thriving again.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_08,,"Cats can judge unseen people’s positions in space by the sound of their voices and thus react with surprise when the same person calls to them from two different locations in a short span of time. Saho Takagi and colleagues reached this conclusion by measuring cats’ levels of surprise based on their ear and head movements while the cats heard recordings of their owners’ voices from two speakers spaced far apart. Cats exhibited a low level of surprise when owners’ voices were played twice from the same speaker, but they showed a high level of surprise when the voice was played once each from the two different speakers.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_09,,"Culinary anthropologist Vertamae Smart-Grosvenor may be known for her decades of
work in national public television and radio, but her book $\textit{Vibration Cooking: or, the Travel Notes of a Geechee Girl}$ is likely her most influential project. The 1970 book, whose title refers to Smart-Grosvenor’s roots in the Low Country of South Carolina, was unusual for its time. It combined memoir, recipes, travel writing, and social commentary and challenged notions about conventions of food and cooking. Long admired by many, the book and its author have shaped contemporary approaches to writing about cuisine.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_10,,"$\textit{O Pioneers!}$ is a 1913 novel by Willa Cather. In the novel, Cather depicts Alexandra Bergson as a person who takes comfort in understanding the world around her: ______",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_11,,"Several artworks found among the ruins of the ancient Roman city of Pompeii depict a female figure fishing with a cupid nearby. Some scholars have asserted that the figure is the goddess Venus, since she is known to have been linked with cupids in Roman culture, but University of Leicester archaeologist Carla Brain suggests that cupids may have also been associated with fishing generally. The fact that a cupid is shown near the female figure, therefore, ______",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_12,,"In documents called judicial opinions, judges explain the reasoning behind their legal rulings, and in those explanations they sometimes cite and discuss historical and contemporary philosophers. Legal scholar and philosopher Anita L. Allen argues that while judges are naturally inclined to mention philosophers whose views align with their own positions, the strongest judicial opinions consider and rebut potential objections; discussing philosophers whose views conflict with judges’ views could therefore ______",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_13,,"Many of William Shakespeare’s tragedies address broad themes that still appeal to today’s audiences. For instance, $\textit{Romeo and Juliet,}$ which is set in the Italy of Shakespeare’s time, tackles the themes of parents versus children and love versus hate, and the play continues to be read and produced widely around the world. But understanding Shakespeare’s so- called history plays can require a knowledge of several centuries of English history. Consequently, ______",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_14,,"In her analysis of Edith Wharton’s $\textit{The House of Mirth}$ (1905), scholar Candace Waid observes that the novel depicts the upper classes of New York society as “consumed by the appetite of a soulless ______ an apt assessment given that $\textit{The House of Mirth}$ is set during
the Gilded Age, a period marked by rapid industrialization, economic greed, and widening wealth disparities.",,,,,,,,,,,,,,,,,,,,,,,
SDBBP_03-1_15,,"Based on genetic evidence, archaeologists have generally agreed that reindeer domestication began in the eleventh century CE. However, since uncovering fragments of a 2,000-year-old reindeer training harness in northern Siberia, ______ may have begun much earlier.",,,,,,,,,,,,,,,,,,,,,,,
